listing_id,weekly_rent,bond,bedrooms,bathrooms,car_spaces,lat,lon,property_type_primary,property_type_secondary,address,suburb,state,postcode,source_file
10014450,550.0,,2.0,1.0,0.0,-37.806138,144.9602874,Apartment,Apartment / Unit / Flat,802/6 Leicester Street St,Carlton,VIC,3053,10014450.html
10052357,420.0,1825.0,1.0,1.0,1.0,-37.7961288,144.9544252,Apartment,Apartment / Unit / Flat,5/30 Park Drive,Parkville,VIC,3052,10052357.html
10066970,440.0,1912.0,1.0,1.0,1.0,-37.8592595,145.0483752,Apartment,Apartment / Unit / Flat,10/1526 High Street,Glen Iris,VIC,3146,10066970.html
10105510,515.0,2238.0,2.0,1.0,1.0,-37.8181438,145.0159799,Apartment,Apartment / Unit / Flat,3/38 Creswick Street,Hawthorn,VIC,3122,10105510.html
10117843,400.0,1738.0,1.0,1.0,1.0,-37.8492428,145.0005569,Apartment,Apartment / Unit / Flat,3/36 Clarke Street,Prahran,VIC,3181,10117843.html
10119117,490.0,2129.0,1.0,1.0,1.0,-37.8596295,144.8904057,Apartment,Apartment / Unit / Flat,201/133 Railway Place,Williamstown,VIC,3016,10119117.html
10178708,160.0,,1.0,1.0,0.0,-38.3138012,145.0045603,House,House,Marina Berths Martha Cove Waterway,Safety Beach,VIC,3936,10178708.html
10178778,630.0,2738.0,2.0,2.0,1.0,-37.8557208,144.9919889,Apartment,Apartment / Unit / Flat,3/2 Maddock Street,Windsor,VIC,3181,10178778.html
10195494,680.0,2955.0,4.0,2.0,2.0,-37.8712793,145.1688398,House,House,4 Willowbank Court,Glen Waverley,VIC,3150,10195494.html
10222659,820.0,3563.0,2.0,2.0,2.0,-37.8406249,144.9395556,Apartment,Apartment / Unit / Flat,1010/101 Bay Street,Port Melbourne,VIC,3207,10222659.html
10282068,640.0,2781.0,2.0,1.0,1.0,-37.806318,144.9612737,Apartment,Apartment / Unit / Flat,614/1 Bouverie Street,Carlton,VIC,3053,10282068.html
10285357,650.0,2824.0,2.0,1.0,0.0,-37.8405624,144.99911,House,House,138 Surrey Road North,South Yarra,VIC,3141,10285357.html
10295644,300.0,1300.0,1.0,1.0,0.0,-37.7946552,144.8327711,Apartment,Apartment / Unit / Flat,2/13 Chapman Street,Sunshine,VIC,3020,10295644.html
10319565,535.0,2325.0,1.0,1.0,0.0,-37.8274015,145.0344618,Apartment,Apartment / Unit / Flat,"Glenferrie Rd, Hawthorn VIC 3122",Hawthorn,VIC,3122,10319565.html
10334018,620.0,2694.0,2.0,1.0,1.0,-37.8493082,144.9794216,Apartment,Apartment / Unit / Flat,507/582 St Kilda Road,Melbourne,VIC,3004,10334018.html
10344261,700.0,3042.0,2.0,1.0,0.0,-37.777057,144.9917297,House,House,40 Charles Street,Northcote,VIC,3070,10344261.html
10367337,575.0,2499.0,2.0,1.0,2.0,-37.8251597,145.0454108,Apartment,Apartment / Unit / Flat,5/1-5 Auburn Grove,Hawthorn East,VIC,3123,10367337.html
10408744,600.0,2607.0,3.0,1.0,2.0,-37.9378344,145.1690819,House,House,3 Neville Court,Springvale,VIC,3171,10408744.html
10459134,470.0,2042.0,1.0,1.0,0.0,-37.8149562,144.9581677,Apartment,Apartment / Unit / Flat,901/172 William Street,Melbourne,VIC,3000,10459134.html
10475427,650.0,2824.0,2.0,2.0,1.0,-37.7695819,144.9532791,Apartment,Apartment / Unit / Flat,2/1 Gumbri Place,Brunswick,VIC,3056,10475427.html
10515023,500.0,2173.0,2.0,1.0,1.0,-37.8405766,145.0033258,Apartment,Apartment / Unit / Flat,3/382 Toorak Road,South Yarra,VIC,3141,10515023.html
10534248,450.0,1955.0,1.0,1.0,0.0,-37.8059163,144.9603621,Apartment,Apartment / Unit / Flat,6 Leicester Street,Carlton,VIC,3053,10534248.html
10621148,786.0,,1.0,1.0,19.0,-37.756201,144.811242,Apartment,Studio,1A & 1B/101-103 Main Road West,St Albans,VIC,3021,10621148.html
10652413,400.0,1738.0,,1.0,0.0,-37.803767,144.961626,Apartment,Studio,13/117-121 Bouverie Street,Carlton,VIC,3053,10652413.html
10694414,3500.0,,3.0,2.0,2.0,-37.9044002,144.9997396,Townhouse/Villa,Townhouse,Brighton VIC 3186,Brighton,VIC,3186,10694414.html
10715072,475.0,2064.0,1.0,1.0,1.0,-37.8141406,144.9874786,Apartment,Apartment / Unit / Flat,86 Hotham Street,East Melbourne,VIC,3002,10715072.html
10731385,525.0,2275.0,2.0,1.0,1.0,-37.8088741,144.8747317,Townhouse/Villa,Villa,2/373 Geelong Road,Kingsville,VIC,3012,10731385.html
10754619,520.0,2260.0,1.0,1.0,0.0,-37.8381602,144.9928339,Apartment,Apartment / Unit / Flat,812/3 Yarra Street,South Yarra,VIC,3141,10754619.html
10759956,495.0,2129.0,1.0,1.0,1.0,-37.775285,144.990338,Apartment,Apartment / Unit / Flat,303/56-58 St Georges Road,Northcote,VIC,3070,10759956.html
10794482,660.0,2868.0,2.0,2.0,1.0,-37.8014606,144.9526282,Apartment,Apartment / Unit / Flat,6/175 Chetwynd St,North Melbourne,VIC,3051,10794482.html
10801345,33.0,132.0,1.0,1.0,0.0,-38.1697927,146.2578282,House,House,14-16 Bubb Street,Moe,VIC,3825,10801345.html
