lat,lon,orientation_degrees,orientation_cardinal,address
-37.806138,144.9602874,229.91171123579224,SW,802/6 Leicester Street St
-37.7961288,144.9544252,230.00785627321324,SW,5/30 Park Drive
-37.8592595,145.0483752,229.16108108429052,SW,10/1526 High Street
-37.8181438,145.0159799,229.59188865115348,SW,3/38 Creswick Street
-37.8492428,145.0005569,229.43516876455882,SW,3/36 Clarke Street
-37.8596295,144.8904057,229.82119953365608,SW,201/133 Railway Place
-37.8557208,144.9919889,229.42526812831494,SW,3/2 Maddock Street
-37.8712793,145.1688398,228.55511671038633,SW,4 Willowbank Court
-37.8406249,144.9395556,229.75216572018132,SW,1010/101 Bay Street
-37.806318,144.9612737,229.90630591972993,SW,614/1 Bouverie Street
-37.8405624,144.99911,229.50304910332923,SW,138 Surrey Road North
-37.7946552,144.8327711,230.51872075943402,SW,2/13 Chapman Street
-37.8274015,145.0344618,229.44739611109293,SW,"Glenferrie Rd, Hawthorn VIC 3122"
-37.8493082,144.9794216,229.52369929279502,SW,507/582 St Kilda Road
-37.777057,144.9917297,229.98899890287936,SW,40 Charles Street
-37.8251597,145.0454108,229.416901791003,SW,5/1-5 Auburn Grove
-37.9378344,145.1690819,228.08318878041794,SW,3 Neville Court
-37.8149562,144.9581677,229.8574936706257,SW,901/172 William Street
-37.7695819,144.9532791,230.20340712497625,SW,2/1 Gumbri Place
-37.8405766,145.0033258,229.48516360242087,SW,3/382 Toorak Road
-37.8059163,144.9603621,229.91298636828537,SW,6 Leicester Street
-37.756201,144.811242,230.8811128024789,SW,1A & 1B/101-103 Main Road West
-37.803767,144.961626,229.9230991145731,SW,13/117-121 Bouverie Street
-37.9044002,144.9997396,229.0483898260275,SW,Brighton VIC 3186
-37.8141406,144.9874786,229.7406038632799,SW,86 Hotham Street
-37.8088741,144.8747317,230.2460777309803,SW,2/373 Geelong Road
-37.8381602,144.9928339,229.54660517028063,SW,812/3 Yarra Street
-37.775285,144.990338,230.0076021358776,SW,303/56-58 St Georges Road
-37.8014606,144.9526282,229.97713675024224,SW,6/175 Chetwynd St
-37.8522389,144.9795127,229.50249655498527,SW,415/74 Queens Road
-37.7999246,144.9538809,229.98292035380183,SW,6 High Street
-37.880464,145.0480025,229.01221929481136,SW,5 Dudley Street
-37.6968725,144.5416829,232.3603442581294,SW,31 Citreus Circuit
-37.7623261,144.991334,230.09692865431455,SW,11/52 Gadd Street
-37.8520672,145.1304512,228.85932676847787,SW,223/386 Burwood Highway
-37.928747,145.1072639,228.41667102318203,SW,17 Arunta Crescent
-37.8233469,145.0455415,229.42931724014673,SW,310/2 Eastern Place
-37.8152065,144.963937,229.83160855877148,SW,Melbourne VIC 3000
-37.791381,144.934543,230.12453668386294,SW,5 Scarborough Place
-37.8028669,144.9602837,229.93514736125474,SW,412/127 Leicester Street
-38.11768350000001,145.3377715,226.08255543978507,SW,12 Thoroughbred Drive
-37.7762744,144.7733695,230.88948999719827,SW,1a Wood
-37.8161893,144.9532649,229.8691391876725,SW,2502/200 Spencer Street
-37.7606174,144.9443254,230.30520725042035,SW,6/109 Melville Road
-37.8421512,144.9399802,229.73955083667437,SW,C308/142 Rouse Street
-37.806138,144.9602874,229.91171123579224,SW,1216/6 Leicester Street
-37.706331,144.5498633,232.2615627258768,SW,34 Kilmore Street (Lot 319)
-37.8074717,144.9621267,229.89448740454787,SW,2108/8 Franklin Street
-37.7125744,144.7822029,231.31187863236718,SW,3/54 McNicholl Way
-37.7693861,144.9977214,230.0191714731259,SW,102/114 Helen Street
-37.8409918,144.6610953,230.87617171740726,SW,84 Hamish Drive
